,,MESURES DE CENTRALITÉ,,,,,,,,,,,,
Abbott,Maude E.,1,692,5,1327,5,1344,0.413,1052,0,698,0.041,743,
Abbott,Elizabeth,1,693,10,941,10,968,0.394,1963,0,699,0.014,1783,
Abegg,Wilhelm Feld.,1,694,5,1328,5,1345,0.413,1053,0,700,0.041,744,
Abraham,Gerald H. F.,1,695,3,2018,3,2029,0.37,2292,0,701,0.006,2298,
Acuna,Jose de,1,696,70,121,70,166,0.457,419,0,702,0.15,108,
Adam,Tassilo,1,697,1,2377,1,2380,0.353,2464,0,703,0.004,2501,
Addey,E. L. L. ,1,698,2,2176,2,2192,0.392,2004,0,704,0.011,1910,
Afring,Fredr.,1,699,9,984,9,1013,0.413,1054,0,706,0.018,1633,
Aiginetes,D.,1,700,1,2378,1,2381,0.353,2465,0,707,0.004,2502,
Aikins,J. A. M.,1,701,10,942,10,969,0.394,1964,0,708,0.013,1837,
Ainsworth,A. R.,1,702,73,111,75,152,0.461,369,41.3,542,0.172,83,
Akel,Friedrich,1,703,1,2379,1,2382,0.369,2326,0,709,0.005,2397,
Alazard,Jean,1,704,5,1330,5,1346,0.413,1055,0,710,0.041,745,
Albert,P.,1,705,5,1332,5,1347,0.413,1056,0,711,0.041,746,
Albert,Georges,1,706,6,1224,6,1245,0.361,2378,0,712,0.008,2205,
Alberti,Leonora De,1,707,10,943,10,971,0.394,1965,0,713,0.014,1785,
Alborta,Waldo,1,708,1,2380,1,2383,0.353,2466,0,714,0.004,2503,
Albrecht,,1,709,5,1333,5,1349,0.413,1057,0,715,0.041,747,
Alexander ,Margaret C. ,1,710,4,1915,4,1931,0.412,1597,0,716,0.015,1750,
Alford,Violet,1,711,19,638,19,686,0.458,406,0,717,0.047,589,
Allee,W. C.,1,712,8,1039,8,1073,0.426,816,0,718,0.022,1542,
Allen,B. M.,1,713,1,2381,1,2384,0.374,2216,0,719,0.006,2299,
Allnatt,J. C.,1,714,5,1334,5,1350,0.413,1058,0,720,0.041,748,
Almeida,Renato,1,715,1,2382,1,2385,0.353,2467,0,721,0.004,2504,
Altamira,,1,716,5,1335,5,1351,0.413,1059,0,722,0.041,749,
Altmann,W.,1,717,5,1336,5,1352,0.42,921,0,723,0.016,1729,
Amaral,A. Ferreira Do,1,718,2,2177,2,2194,0.293,2852,0,725,0.001,2788,
Ambros,N.,1,719,1,2384,1,2386,0.353,2468,0,726,0.004,2505,
Ambrosini,Antonio,1,720,3,2019,3,2030,0.413,1060,0,727,0.015,1751,
Ame-Leroy,,1,721,5,1337,5,1353,0.413,1061,0,728,0.041,750,
Amelio,d',1,722,5,1338,5,1354,0.413,1062,0,729,0.041,751,
Ames Mead,Lucia,1,723,5,1339,5,1355,0.413,1063,0,730,0.041,752,
Anchorena,de,1,724,5,1340,5,1356,0.413,1064,0,731,0.041,753,
AndersenJC,Johannes C.,1,725,1,2385,1,2387,0.352,2667,0,732,0.003,2722,
Anderson,E. H.,1,726,5,1341,5,1357,0.413,1065,0,733,0.041,754,
Anderssen,Sven,1,727,3,2020,3,2031,0.337,2732,0,734,0.003,2723,
Andre,,1,728,6,1225,6,1246,0.426,817,0,735,0.045,609,
Andre,Tony,1,729,5,1342,5,1358,0.413,1066,0,736,0.041,755,
Andreasen,R. J.,1,730,1,2386,1,2388,0.36,2397,0,737,0.005,2399,
Androutizos,Nicolas,1,731,1,2387,1,2389,0.36,2398,0,738,0.005,2400,
Aner,,1,732,5,1343,5,1359,0.413,1067,0,739,0.041,756,
Angoulvent,,1,733,35,357,37,395,0.463,339,36.9,554,0.088,292,
Anguelou,B.,1,734,40,290,40,345,0.421,882,0,740,0.042,696,
Angyal,David,1,735,28,429,28,475,0.434,694,0,741,0.044,638,
Antonetti,R.,1,736,12,856,12,892,0.376,2172,0,742,0.011,1911,
Antoniewicz,Wlodzimierz,1,737,1,2388,1,2390,0.353,2469,0,743,0.004,2506,
Antonoff,Nicolas P.,1,738,5,1344,5,1360,0.413,1068,0,744,0.041,757,
Aoki,,1,739,70,122,70,167,0.457,420,0,745,0.15,109,
Appell,Pierre,1,740,9,985,9,1015,0.426,818,0,746,0.031,1372,
Appleget ,Thomas B. ,1,741,4,1916,4,1932,0.37,2293,0,747,0.006,2300,
Araki,T.,1,742,2,2178,2,2195,0.375,2189,0,749,0.006,2301,
Aramayo,Felix Avelino,1,743,70,123,70,168,0.457,421,0,750,0.15,110,
Arciszewski,,1,744,2,2179,2,2196,0.361,2379,0,751,0.005,2401,
Arfah-ed-Dowleh,,1,745,2,2180,2,2197,0.37,2294,0,752,0.005,2402,
Arguedas,Alcides,1,746,2,2181,2,2198,0.387,2097,0,753,0.008,2206,
Ariste,,1,747,1,2389,1,2391,0.36,2399,0,754,0.005,2403,
Arlady,Edith,1,748,2,2182,2,2199,0.361,2380,0,755,0.005,2404,
Armstrong,Hamilton Fish,1,749,5,1345,5,1361,0.413,1069,0,756,0.041,758,
Arnesen,Arne,1,750,3,2021,3,2032,0.361,2381,0,757,0.006,2302,
Arnold,W.,1,751,2,2183,2,2200,0.375,2190,0,758,0.006,2303,
Arnould,,1,752,16,718,16,757,0.434,696,0,759,0.036,1305,
Arpad,Zaslo,1,753,6,1226,6,1247,0.401,1749,0,760,0.013,1838,
Arquilliere,,1,754,5,1346,5,1362,0.413,1070,0,761,0.041,759,
Arran,Arthur,1,755,1,2390,1,2392,0.399,1802,0,762,0.009,2062,
Arribert,,1,756,10,944,10,972,0.413,1071,0,763,0.024,1493,
Arzu,Jose,1,757,22,544,24,574,0.419,936,8.2,623,0.065,414,
Ascher,,1,758,5,1347,5,1363,0.413,1072,0,764,0.041,760,
Aubert,Louis,1,759,41,268,41,321,0.441,626,0,765,0.07,377,
Aubert,Xavier,1,760,1,2391,1,2393,0.353,2470,0,766,0.004,2507,
Auclair-Prevost,Marcelle,1,761,16,719,16,759,0.42,923,272,374,0.056,499,
Aude,,1,762,1,2392,1,2394,0.353,2471,0,767,0.004,2508,
Audibert,Pierre,1,763,21,566,21,618,0.432,747,248.3,391,0.062,436,
Audollent,Auguste,1,764,1,2393,1,2395,0.399,1803,0,768,0.009,2063,
Auerbach,Siegfried,1,765,4,1917,4,1933,0.384,2113,0,769,0.011,1912,
Aulard,A.,1,766,9,986,9,1016,0.447,553,169.7,437,0.053,531,
Aull,Maria,1,767,1,2394,1,2396,0.399,1804,0,770,0.009,2064,
Auspiz,H.,1,768,5,1348,5,1364,0.413,1073,0,771,0.041,761,
Avezzana,,1,769,5,1349,5,1365,0.413,1074,0,772,0.041,762,
Avril de Sainte-Croix,G.,1,770,3,2023,3,2034,0.353,2472,0,773,0.007,2237,
Baard,C. W. H.,1,771,1,2395,1,2397,0.353,2473,0,774,0.004,2509,
Babak,Edward,1,772,27,453,27,500,0.429,770,0,775,0.031,1373,
Bache,Henry N.,1,773,2,2184,2,2201,0.358,2444,0,776,0.007,2238,
Bachmann,Herta,1,774,6,1227,6,1248,0.426,819,0,777,0.045,610,
Bachmann,E.,1,775,2,2185,2,2202,0.399,1805,0,778,0.009,2065,
Backer,A. de,1,776,3,2024,3,2035,0.392,2005,0,779,0.011,1913,
Baddeley,W.,1,777,4,1918,4,1934,0.331,2773,0,780,0.002,2761,
Bailey,J.,1,778,1,2396,1,2398,0.353,2474,0,781,0.004,2510,
Baillaud,Emile,1,779,11,889,11,918,0.446,577,0,782,0.042,697,
Baillaud,B.,1,780,18,670,18,720,0.409,1633,0,783,0.04,1275,
Baker,George P.,1,781,21,567,21,619,0.432,748,248.3,392,0.062,437,
Bakker van Bosse,C.,1,782,11,890,11,919,0.378,2148,0,784,0.014,1786,
Balanoff,J.,1,783,1,2397,1,2399,0.36,2400,0,785,0.005,2405,
Balen,W. J. Van,1,784,8,1041,9,1017,0.447,554,0,787,0.056,500,
Ballinger,John,1,785,40,291,40,346,0.421,883,0,788,0.042,698,
Ballobar,,1,786,11,891,11,920,0.397,1923,0,789,0.016,1730,
Balny d'Avricourt,,1,787,2,2186,2,2203,0.407,1652,0,790,0.011,1915,
Bamain,,1,788,1,2398,1,2400,0.325,2784,0,791,0.001,2789,
Banesco,N.,1,789,1,2399,1,2401,0.399,1806,0,792,0.009,2066,
Bar,de,1,790,23,530,23,585,0.409,1634,139.9,452,0.03,1402,
Barbagelata,Hugo D.,1,791,1,2400,1,2402,0.387,2098,0,793,0.008,2207,
Barbatt,V.,1,792,4,1920,4,1937,0.4,1778,0,794,0.011,1916,
Barbeau,Marius,1,793,1,2401,1,2403,0.353,2475,0,795,0.004,2511,
Barbillon,,1,794,10,945,10,973,0.413,1075,0,796,0.024,1494,
Barclay,Thomas,1,795,5,1350,5,1366,0.413,1076,0,797,0.041,763,
Barnes,Roswell P.,1,796,3,2026,3,2036,0.402,1720,0,798,0.012,1881,
Barnett,Lionel D.,1,797,1,2402,1,2404,0.353,2476,0,799,0.004,2512,
Barnich,Georges,1,798,8,1042,8,1074,0.395,1951,0,800,0.015,1752,
Barr,Jean B.,1,799,1,2403,1,2405,0.36,2401,0,801,0.005,2406,
Barrau-Dihigo,L.,1,800,9,987,9,1018,0.444,600,0,802,0.028,1427,
Barrier,A.,1,801,1,2404,1,2406,0.374,2217,0,803,0.006,2304,
Barriol,,1,802,5,1351,5,1367,0.413,1077,0,804,0.041,764,
Barrows,Albert L.,1,803,3,2027,3,2037,0.418,980,0,805,0.017,1682,
Barthelemy,,1,804,3,2028,3,2038,0.392,2006,0,806,0.01,1978,
Barthou,Louis,1,805,5,1352,5,1368,0.413,1078,0,807,0.041,765,
Bartoniek,Geza,1,806,28,432,28,476,0.434,697,0,808,0.044,640,
Basalo,Pedro,1,807,1,2405,1,2407,0.353,2477,0,809,0.004,2513,
Bastin,M.,1,808,22,545,22,595,0.406,1662,0,810,0.029,1412,
Batchinsky,Eugene de,1,809,1,2406,1,2408,0.36,2402,0,811,0.005,2407,
Bates,Frederick,1,810,5,1353,5,1369,0.308,2831,0,812,0.001,2790,
Batha,Graham,1,811,2,2187,2,2204,0.4,1779,0,813,0.009,2067,
Bather,F. A.,1,812,22,546,22,596,0.406,1663,0,814,0.029,1413,
Baudi di Vesme,Alessandro,1,813,1,2407,1,2409,0.353,2478,0,815,0.004,2514,
Baudouin,,1,814,6,1228,6,1249,0.426,820,0,816,0.045,611,
Bauer,E.,1,815,16,720,16,760,0.447,555,0,817,0.042,699,
Baumberger,J. P.,1,816,1,2408,1,2410,0.399,1807,0,818,0.009,2068,
Baumer,Gertrud,1,817,5,1354,5,1370,0.413,1079,0,819,0.041,766,
Baur,Erwin,1,818,26,488,27,502,0.419,937,36.3,558,0.062,438,
Baur,Harry,1,819,9,988,9,1019,0.417,1006,600.7,263,0.046,599,
Bausback,,1,820,44,244,46,282,0.446,578,65.8,505,0.093,266,
Bayle,Ch.,1,821,40,292,40,347,0.421,884,0,820,0.042,700,
Bazant,,1,822,27,454,27,503,0.429,771,0,821,0.031,1374,
Beau,M.,1,823,11,892,11,921,0.397,1924,0,822,0.016,1731,
Beaufait James,Marion,1,824,41,269,41,322,0.441,627,0,823,0.07,378,
Bech,Joseph,1,825,1,2409,1,2411,0.399,1808,0,824,0.009,2069,
Bechtold-Bechi,G.,1,826,1,2410,1,2412,0.346,2708,0,825,0.003,2724,
Beck,Walter,1,827,5,1355,5,1371,0.413,1080,0,826,0.041,767,
Beck,M.,1,828,4,1921,4,1938,0.355,2459,0,827,0.005,2408,
Becker,Josef,1,829,5,1356,5,1372,0.413,1081,0,828,0.041,768,
Beckernig Vinckers,H.,1,830,1,2411,1,2413,0.353,2479,0,829,0.004,2515,
Beckers,Rene,1,831,7,1122,8,1075,0.413,1082,0,830,0.043,668,
Beer,Max,1,832,5,1357,5,1373,0.413,1083,0,832,0.041,769,
Beichmann,Johann,1,833,5,1358,5,1374,0.413,1084,0,833,0.041,770,
Beier,,1,834,3,2030,3,2040,0.382,2125,0,834,0.009,2070,
Belaunde,,1,835,25,506,26,537,0.419,938,7.9,627,0.071,371,
Beldie,C.,1,836,5,1359,5,1375,0.413,1085,0,835,0.041,771,
Belin,Edouard,1,837,1,2412,1,2414,0.322,2789,0,836,0.001,2791,
Belot,,1,838,5,1360,5,1376,0.413,1086,0,837,0.041,772,
Belu,,1,839,5,1361,5,1377,0.401,1751,0,838,0.011,1917,
Benavente,Jose Maria,1,840,1,2413,1,2415,0.353,2480,0,839,0.004,2516,
Benes,Edouard,1,841,32,377,32,423,0.49,93,394.2,317,0.096,256,
Benoit-Levy,,1,842,5,1362,5,1378,0.413,1087,0,840,0.041,773,
Benteli,,1,843,10,946,10,974,0.405,1678,0,841,0.017,1684,
Beonio-Brocchieri,V.,1,844,5,1363,5,1379,0.413,1088,0,842,0.041,774,
Berard,Victor,1,845,5,1364,5,1380,0.413,1089,0,843,0.041,775,
Berg,P. J. van den,1,846,5,1365,5,1381,0.413,1090,0,845,0.041,776,
Berg,H. C.,1,847,11,893,11,922,0.462,360,0,844,0.035,1324,
Berg,K.,1,848,2,2188,2,2205,0.399,1809,0,846,0.009,2071,
Bergonignan,Evian,1,849,3,2031,3,2041,0.392,2007,0,847,0.01,1980,
Bergson,L.,1,850,29,418,29,464,0.473,219,0,848,0.096,257,
Berliner,Cora,1,851,70,124,70,169,0.457,422,0,849,0.15,111,
Bernacki,,1,852,6,1229,6,1250,0.413,1091,0,850,0.025,1478,
Bernhoft,H.A.,1,853,1,2414,1,2416,0.353,2481,0,851,0.004,2517,
Bersaucourt,de,1,854,41,270,41,323,0.441,628,0,852,0.07,379,
Bersot,H.,1,855,1,2415,1,2417,0.333,2762,0,853,0.003,2725,
Bersou,L.,1,856,6,1230,6,1251,0.426,821,0,854,0.045,612,
Bertha,,1,857,5,1366,5,1382,0.413,1092,0,855,0.041,777,
Besrodny,P.,1,858,21,568,22,597,0.432,750,248.3,393,0.062,439,
Best,Robert H.,1,859,1,2416,1,2418,0.36,2403,0,856,0.005,2409,
Beteille,Pierre,1,860,5,1367,5,1383,0.413,1093,0,857,0.041,778,
Beth,Marianne,1,861,3,2032,3,2042,0.366,2355,0,858,0.007,2240,
Bey,Husin,1,862,15,759,15,797,0.426,822,0,859,0.033,1344,
Beyazov,,1,863,1,2417,1,2419,0.399,1810,0,860,0.009,2072,
BeyE,Emine,1,864,5,1368,5,1384,0.413,1094,0,861,0.041,779,
Bick,,1,865,21,569,21,620,0.419,940,0,862,0.04,1276,
Bicknell,Ernest P.,1,866,10,947,10,975,0.464,321,47.5,529,0.058,470,
Bidez,J.,1,867,5,1369,5,1385,0.401,1752,0,863,0.017,1686,
Billotey,,1,868,5,1370,5,1386,0.413,1095,0,864,0.041,780,
Billy,de,1,869,5,1371,5,1387,0.413,1096,0,865,0.041,781,
Bilmans,A.,1,870,1,2418,1,2420,0.353,2482,0,866,0.004,2518,
Binder,Jacob W.,1,871,4,1924,4,1941,0.41,1628,0,867,0.013,1839,
Birziska,M.,1,872,30,407,30,456,0.44,654,0,868,0.077,335,
Blacklock,H. H.,1,873,5,1372,5,1388,0.413,1097,0,870,0.041,782,
Blaha,A.,1,874,27,456,27,506,0.429,772,0,871,0.031,1375,
Blanco,J. C.,1,875,7,1123,7,1159,0.429,773,0,872,0.024,1495,
Bloch,Camille,1,876,6,1231,6,1252,0.434,699,0,873,0.046,600,
Blondin,J.,1,877,5,1373,5,1389,0.413,1098,0,874,0.041,783,
Blum,Andre,1,878,5,1374,5,1390,0.413,1099,0,875,0.041,784,
Blum,Eugene,1,879,1,2419,1,2421,0.322,2790,0,876,0.001,2792,
Bodelsen,C.A.,1,880,7,1124,7,1160,0.389,2090,0,878,0.013,1840,
Bodenstein,,1,881,17,695,17,739,0.45,518,0,879,0.06,456,
Boeckel,Florence,1,882,1,2420,1,2422,0.346,2709,0,880,0.003,2726,
Boehlan,J.,1,883,1,2421,1,2423,0.353,2483,0,881,0.004,2519,
Boer,G. de,1,884,7,1125,7,1161,0.441,629,0,882,0.026,1462,
Bogdan,A.,1,885,2,2190,2,2206,0.372,2276,0,883,0.008,2208,
Bogh,,1,886,6,1232,6,1253,0.426,823,0,884,0.045,613,
Bogner,August,1,887,1,2422,1,2424,0.399,1811,0,885,0.009,2073,
Bogrea,V.,1,888,21,570,21,621,0.405,1679,0,886,0.028,1428,
Boheman,,1,889,3,2033,3,2044,0.413,1100,0,887,0.013,1841,
Boillot,F.,1,890,73,112,75,153,0.461,370,41.3,543,0.172,84,
Boissier,Leopold,1,891,3,2034,3,2045,0.392,2008,0,888,0.011,1918,
Boissiere,P. de la ,1,892,5,1375,5,1391,0.413,1101,0,889,0.041,785,
Boix,Felix,1,893,35,359,37,396,0.463,341,36.9,555,0.088,293,
Bollert,,1,894,5,1376,5,1392,0.413,1102,0,891,0.041,786,
Bonamy,Auguste,1,895,70,125,70,170,0.457,423,0,892,0.15,112,
Bonfante,,1,896,5,1377,5,1393,0.413,1103,0,893,0.041,787,
Bonnet,M.,1,897,5,1378,5,1394,0.413,1104,0,894,0.041,788,
Bontchey,Stephane,1,898,3,2035,3,2046,0.392,2009,0,895,0.01,1981,
Bonzon,Alfred,1,899,1,2423,1,2425,0.374,2218,0,896,0.006,2306,
Booth,Willis H.,1,900,2,2191,2,2207,0.418,982,0,897,0.014,1788,
Boreux,,1,901,1,2424,1,2426,0.353,2484,0,899,0.004,2520,
Borge,,1,902,1,2425,1,2427,0.353,2485,0,900,0.004,2521,
Borle,G.,1,903,3,2036,3,2048,0.428,799,0,901,0.017,1688,
Borsari,Gino,1,904,5,1379,5,1395,0.413,1105,0,902,0.041,789,
Borucki,,1,905,5,1380,5,1396,0.413,1106,0,903,0.041,790,
Bosc,,1,906,5,1381,5,1397,0.413,1107,0,904,0.041,791,
Bosch,F. D. K.,1,907,1,2426,1,2428,0.353,2486,0,905,0.004,2522,
Bossiere,Claude Georges,1,908,1,2427,1,2429,0.322,2791,0,906,0.001,2793,
Boubier,Maurice,1,909,2,2193,2,2208,0.401,1753,0,907,0.012,1882,
Boucherot,,1,910,1,2428,1,2430,0.322,2792,0,908,0.001,2794,
Bougle,Celestin,1,911,7,1126,7,1162,0.437,679,3.1,652,0.048,581,
Bourdel,J.,1,912,40,294,40,348,0.433,727,0,910,0.075,343,
Bourdillon,F. B.,1,913,5,1382,5,1398,0.413,1108,0,911,0.041,792,
Bourgin,G.,1,914,1,2429,1,2431,0.36,2404,0,912,0.005,2410,
Bourgo,le,1,915,1,2430,1,2432,0.353,2487,0,913,0.004,2523,
Boutillier du Retail,,1,916,21,571,21,622,0.419,941,0,914,0.04,1277,
Boy-Zelenski,,1,917,5,1383,5,1399,0.413,1109,0,916,0.041,793,
Boyer,Paul,1,918,21,572,21,623,0.406,1664,0,917,0.039,1289,
Boys,W.,1,919,5,1384,5,1401,0.413,1110,0,918,0.041,794,
Bradfield,B,1,920,1,2431,1,2433,0.374,2219,0,919,0.006,2308,
Brandejs,Stan.,1,921,15,761,15,798,0.447,556,0,920,0.049,570,
Brandeler,P. A. Van den,1,922,1,2432,1,2434,0.346,2710,0,921,0.003,2727,
Branford,Victor,1,923,1,2433,1,2435,0.399,1812,0,922,0.009,2074,
Branger,Erhard,1,924,14,799,14,827,0.39,2078,0,923,0.033,1345,
Branting,Hjalmar,1,925,31,381,31,434,0.478,175,0,924,0.092,274,
Braun,Otto,1,926,1,2434,1,2436,0.399,1813,0,925,0.009,2075,
Braunhausen,,1,927,26,490,26,538,0.356,2448,0,926,0.024,1496,
Bredin,Elizabeth,1,928,14,800,14,828,0.393,1981,0,927,0.017,1689,
Breisky,,1,929,70,126,70,171,0.457,424,0,928,0.15,113,
Breslauer,Martin,1,930,1,2435,1,2437,0.399,1814,0,929,0.009,2076,
Breton,le,1,931,20,618,21,624,0.456,463,0,930,0.041,795,
Brett,R. G.,1,932,10,948,10,977,0.394,1966,0,931,0.013,1843,
Bridara,Klumbiraj,1,933,2,2194,2,2209,0.37,2295,0,932,0.006,2309,
Briere,Gaston,1,934,1,2436,1,2438,0.353,2488,0,933,0.004,2524,
Brightman,Edgar Sheffield,1,935,6,1233,6,1254,0.446,579,0,934,0.05,560,
Brindeau,,1,936,3,2039,3,2050,0.392,2010,0,935,0.01,1982,
BriodB,Blaise,1,937,5,1385,5,1402,0.413,1111,0,937,0.041,796,
Brion,Marcel,1,938,5,1386,5,1403,0.413,1112,0,938,0.041,797,
Briscoe,E.,1,939,5,1387,5,1404,0.308,2832,0,939,0.001,2795,
Broche,Gaston E. ,1,940,2,2195,2,2210,0.372,2277,0,940,0.009,2077,
Brocher,Therese,1,941,1,2437,1,2439,0.374,2220,0,941,0.006,2310,
Brockelbank,W. J.,1,942,1,2438,1,2440,0.35,2692,0,942,0.004,2526,
Broda,R.,1,943,5,1388,5,1405,0.413,1113,0,943,0.041,798,
Broendal,Viggo,1,944,7,1127,7,1163,0.389,2091,0,944,0.013,1844,
Brondal,,1,945,17,696,17,740,0.45,519,0,945,0.06,457,
Bronty,,1,946,31,382,31,435,0.423,866,592.1,264,0.065,415,
Brottier,Ch. H.,1,947,1,2439,1,2441,0.322,2793,0,946,0.001,2796,
Brouckere,de,1,948,2,2196,2,2211,0.325,2785,0,947,0.001,2797,
Brouwer,D.,1,949,1,2440,1,2442,0.353,2489,0,948,0.004,2527,
Brown,Edward,1,950,6,1234,6,1255,0.383,2117,0,949,0.013,1845,
Brownlee,J. E.,1,951,10,949,10,978,0.394,1967,0,950,0.013,1846,
Brucke,E.,1,952,5,1389,5,1406,0.413,1114,0,951,0.041,799,
Bruckner,Hans,1,953,3,2040,3,2051,0.441,630,0,952,0.021,1563,
Bruinningk,Hermann von,1,954,7,1128,7,1164,0.362,2365,0,953,0.007,2241,
Brundler,Johann,1,955,5,1390,5,1407,0.413,1115,0,954,0.022,1543,
Brunot,M.,1,956,5,1391,5,1408,0.413,1116,0,955,0.041,800,
Bruns,,1,957,5,1392,5,1409,0.413,1117,0,956,0.041,801,
Brunschvicg,Leon,1,958,5,1393,5,1410,0.413,1118,0,957,0.041,802,
Brusser,F.,1,959,1,2441,1,2443,0.295,2841,0,958,0.001,2798,
Bryant,L. M.,1,960,5,1394,5,1411,0.413,1119,0,959,0.041,803,
Bubnoff,Nicolas,1,961,16,721,16,763,0.434,700,0,960,0.036,1306,
Buchanan,George,1,962,21,573,21,625,0.336,2736,0,961,0.007,2242,
Bucher,A. O.,1,963,7,1129,7,1165,0.406,1665,0,962,0.02,1580,
Bucher,,1,964,1,2442,1,2444,0.322,2794,0,963,0.001,2799,
Bucklet,J. J.,1,965,1,2443,1,2445,0.353,2490,0,964,0.004,2528,
Bucknall,H.,1,966,2,2197,2,2212,0.323,2788,0,965,0.002,2762,
Budzislawski,,1,967,5,1395,5,1412,0.413,1120,0,967,0.041,804,
Bugge,Carl,1,968,15,762,15,799,0.447,557,0,968,0.049,571,
Bugge-Wicksell,Anna,1,969,11,895,11,924,0.397,1925,0,969,0.016,1732,
Buisman,H.,1,970,1,2444,1,2446,0.353,2491,0,970,0.004,2529,
Bujor,,1,971,5,1396,5,1413,0.413,1121,0,971,0.041,805,
Bula,P. Isart,1,972,3,2041,3,2052,0.392,2011,0,972,0.011,1919,
Bulhoes Carvalho,Jose Luis Sayao de,1,973,70,127,70,172,0.457,425,0,973,0.15,114,
Bungartz,E.,1,974,6,1235,6,1256,0.411,1607,0,974,0.017,1691,
Buretia,Elisa,1,975,1,2445,1,2447,0.399,1815,0,975,0.009,2078,
Burger,,1,976,1,2446,1,2448,0.353,2492,0,976,0.004,2530,
Burlet,C. de,1,977,8,1043,8,1076,0.369,2328,0,977,0.012,1883,
Burrell,Robert,1,978,7,1130,7,1166,0.419,942,0,978,0.02,1581,
Burton Stevenson,,1,979,26,491,26,539,0.45,520,1202.6,199,0.069,399,
Bus De Warnaffe,Ch. du,1,980,7,1131,9,1021,0.446,580,0,979,0.05,561,
Busch,Nicolas,1,981,7,1132,7,1167,0.362,2366,0,980,0.007,2243,
Buschbeck,E.,1,982,4,1926,4,1943,0.416,1014,18.6,600,0.015,1754,
Butler,Harold,1,983,6,1236,6,1257,0.427,810,0,981,0.025,1479,
Butler,M.E.,1,984,1,2447,1,2449,0.36,2405,0,982,0.005,2411,
Butterworth,C. H.,1,985,8,1044,8,1077,0.419,943,0,983,0.017,1692,
Byatt,H. A.,1,986,12,857,12,893,0.376,2173,0,985,0.011,1920,
Caballero,Ramon V.,1,987,70,128,70,173,0.457,426,0,986,0.15,115,
Cadderon,F.,1,988,3,2043,3,2053,0.392,2012,0,987,0.008,2209,
Caggese,Romolo,1,989,5,1398,5,1416,0.413,1122,0,988,0.041,806,
Cagnat,,1,990,5,1399,5,1417,0.413,1123,0,989,0.041,807,
Cahen,Gaston,1,991,1,2448,1,2450,0.399,1816,0,990,0.009,2079,
Cahuzac,D. de,1,992,5,1400,5,1418,0.413,1124,0,991,0.041,808,
Calasanti,,1,993,20,620,20,672,0.456,464,0,992,0.041,809,
Calhoun,George M.,1,994,13,824,13,860,0.463,343,0,993,0.043,670,
Cambridge,,1,995,24,522,24,575,0.471,254,0,994,0.083,312,
Camp,Georges,1,996,6,1237,6,1258,0.411,1608,0,995,0.017,1693,
Camp,H.,1,997,3,2044,3,2054,0.392,2013,0,996,0.011,1921,
Camp,S. J.,1,998,1,2449,1,2451,0.353,2493,0,997,0.004,2531,
Campbell,H. J.,1,999,2,2199,2,2213,0.399,1817,0,999,0.009,2080,
Campbell,R. B.,1,1000,2,2200,2,2214,0.361,2382,0,1001,0.005,2412,
Campbell Dodgson,,1,1001,1,2450,1,2452,0.353,2494,0,1002,0.004,2532,
Canavate,Don Emilio Ortiz,1,1002,5,1402,5,1419,0.413,1125,0,1003,0.041,810,
Canney,A.,1,1003,3,2045,3,2056,0.392,2015,0,1004,0.01,1983,
Canteloube,,1,1004,1,2451,1,2453,0.353,2495,0,1005,0.004,2533,
Cantone,,1,1005,4,1927,4,1944,0.407,1653,0,1006,0.011,1923,
Capitant,Henri,1,1006,1,2452,1,2454,0.322,2795,0,1007,0.001,2800,
Cappe,Victorie,1,1007,4,1928,4,1945,0.371,2280,0,1008,0.007,2244,
Caratheodori,,1,1008,16,723,16,764,0.414,1034,0,1009,0.023,1518,
Caravito,Humberto,1,1009,1,2453,1,2455,0.353,2496,0,1010,0.004,2534,
Cardona,Antoni,1,1010,1,2454,1,2456,0.399,1818,0,1011,0.009,2081,
Carels,R.J.,1,1011,2,2201,2,2215,0.295,2842,0,1012,0.001,2801,
Cargin,Eleanor,1,1012,2,2202,2,2216,0.295,2843,0,1013,0.001,2802,
Carleson,,1,1013,14,801,14,830,0.404,1698,0,1014,0.034,1333,
Carlier,,1,1014,2,2203,2,2217,0.375,2192,0,1015,0.006,2311,
Carlomagno,Adelqui,1,1015,5,1403,5,1420,0.413,1126,0,1016,0.041,811,
Carnot,,1,1016,3,2046,3,2057,0.392,2016,0,1017,0.01,1984,
Caron,,1,1017,1,2455,1,2457,0.353,2497,0,1018,0.004,2535,
Carr,Georgina E.,1,1018,11,896,11,925,0.414,1035,0,1019,0.022,1544,
Carr,S. E.,1,1019,3,2047,3,2058,0.39,2079,0,1020,0.013,1849,
Carreno y Espana,Jose,1,1020,35,360,36,398,0.463,344,36.9,556,0.088,294,
Carriere,H.,1,1021,21,574,21,626,0.336,2737,0,1021,0.007,2245,
Carrillo,Gomez,1,1022,5,1404,5,1421,0.413,1127,0,1022,0.041,812,
Carter,A. C. R.,1,1023,15,763,15,801,0.448,543,0,1023,0.045,614,
Carter,Grace M.,1,1024,2,2204,2,2218,0.361,2383,0,1024,0.006,2312,
Carter,L. E.,1,1025,1,2456,1,2458,0.299,2838,0,1025,0.001,2803,
Carton de Wiart,,1,1026,5,1405,5,1422,0.381,2136,0,1026,0.009,2082,
Cartwright,Morse A.,1,1027,5,1406,5,1423,0.413,1128,0,1027,0.041,813,
